surface,chambres,sdb,etage,location,prix
Not Specified,4 chambres,1 sdb,Étage 4,"Yacoub El Mansour, Rabat",Not Specified
377 m²,15 chambres,7 sdbs,Étage 3,"Autre secteur, Rabat",2 884 050
112 m²,3 chambres,1 sdb,Étage 3,"Hassan, Rabat",1 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3 100 000
155 m²,3 chambres,3 sdbs,Étage 1,"Hay Riad, Rabat",3 600 000
174 m²,3 chambres,2 sdbs,Rez de chaussée,"Agdal, Rabat",4 110 000
Not Specified,3 chambres,Not Specified,Étage 1,"Agdal, Rabat",2 500 000
Not Specified,1 chambre,Not Specified,Étage 4,"Agdal, Rabat",900 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
Not Specified,1 chambre,1 sdb,Étage 2,"Abi Ragrag, Rabat",Not Specified
332 m²,5 chambres,2 sdbs,Not Specified,"Agdal, Rabat",4 500 000
130 m²,5 chambres,3 sdbs,Rez de chaussée,"Hay Riad, Rabat",Not Specified
173 m²,3 chambres,3 sdbs,Étage 3,"Agdal, Rabat",3 100 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 995 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,25 000
147 m²,3 chambres,2 sdbs,Étage 7,"Hay Riad, Rabat",3 650 000
84 m²,2 chambres,1 sdb,Étage 2,"Yacoub El Mansour, Rabat",1 000 000
62 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Riad, Rabat",29 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 460 000
Not Specified,3 chambres,Not Specified,Étage 3,"Hassan, Rabat",2 250 000
60 m²,2 chambres,1 sdb,Étage 3,"Yacoub El Mansour, Rabat",600 000
Not Specified,3 chambres,Not Specified,Étage 4,"Hassan, Rabat",1 950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 353 000
Not Specified,4 chambres,4 sdbs,Étage 1,"Rabat, Hay Riad",8 000 000
Not Specified,1 chambre,Not Specified,Étage 6,"Rabat, Hay Riad",Not Specified
Not Specified,3 chambres,Not Specified,Étage 2,"Rabat, Hay Riad",3 800 000
115 m²,2 chambres,2 sdbs,Étage 6,"Agdal, Rabat",2 600 000
65 m²,2 chambres,1 sdb,Étage 3,"Yacoub El Mansour, Rabat",620 000
